feature,reward,variant,n_seeds,seeds,train_coins_per_round_mean,train_coins_per_round_std,train_kills_per_round_mean,train_kills_per_round_std,train_self_kill_rate_mean,train_self_kill_rate_std,train_score_per_round_mean,train_score_per_round_std,train_agent_steps_per_round_mean,train_agent_steps_per_round_std,eval_coins_per_round_mean,eval_coins_per_round_std,eval_kills_per_round_mean,eval_kills_per_round_std,eval_self_kill_rate_mean,eval_self_kill_rate_std,eval_score_per_round_mean,eval_score_per_round_std,eval_agent_steps_per_round_mean,eval_agent_steps_per_round_std,eval_avg_round_steps_mean,eval_avg_round_steps_std,eval_bombs_per_round_mean,eval_bombs_per_round_std,eval_crates_per_round_mean,eval_crates_per_round_std,eval_kills_per_bomb_mean,eval_kills_per_bomb_std,eval_coins_per_100_steps_mean,eval_coins_per_100_steps_std,eval_kills_per_100_steps_mean,eval_kills_per_100_steps_std,eval_wait_rate_mean,eval_wait_rate_std,timeout_rate_mean,timeout_rate_std,eval_num_opponents_mean,eval_num_opponents_std,eval_opponent_coins_per_round_mean,eval_opponent_coins_per_round_std,eval_opponent_kills_per_round_mean,eval_opponent_kills_per_round_std,eval_opponent_self_kill_rate_mean,eval_opponent_self_kill_rate_std,eval_opponent_score_per_round_mean,eval_opponent_score_per_round_std,eval_best_opponent_score_per_round_mean,eval_best_opponent_score_per_round_std,eval_score_diff_per_round_mean,eval_score_diff_per_round_std,eval_deaths_by_opponent_rate_mean,eval_deaths_by_opponent_rate_std,eval_death_rate_mean,eval_death_rate_std,eval_survival_rate_mean,eval_survival_rate_std,eval_score_win_rate_mean,eval_score_win_rate_std,eval_score_tie_rate_mean,eval_score_tie_rate_std,eval_first_place_rate_mean,eval_first_place_rate_std,eval_mean_rank_mean,eval_mean_rank_std,eval_reversal_rate_mean,eval_reversal_rate_std,eval_max_alternating_streak_mean,eval_max_alternating_streak_std,eval_long_oscillation_rate_mean,eval_long_oscillation_rate_std
F7,shaped,baseline,3,"123,456,2026",,,,,,,,,,,4.8100000000000005,0.9957911427603682,0.19333333333333333,0.040414518843273815,0.06666666666666667,0.020816659994661323,5.776666666666666,0.9856131763188505,347.87,9.969307899749097,383.6,12.607692096494118,23.986666666666668,11.190560009817801,50.47,14.363996658312058,0.008954180325582647,0.0034358068894225612,1.3889569606703562,0.3298959396317473,0.05560830605452135,0.011579275191970826,0.04863863949458358,0.038279222653866865,0.7133333333333334,0.24542480178933287,1,0.0,2.8666666666666667,0.3189566323708184,0.11666666666666667,0.050332229568471665,0.5833333333333333,0.011547005383792526,3.45,0.32000000000000006,3.45,0.32000000000000006,2.3266666666666667,1.283212115487277,0.11666666666666667,0.050332229568471665,0.18,0.026457513110645897,0.82,0.026457513110645866,0.7,0.04999999999999999,0.05,0.026457513110645908,0.75,0.034641016151377574,1.25,0.034641016151377574,0.43005968097102615,0.27150854805359775,265.6666666666667,129.69322778515976,0.5,0.39887341350358263
F7,shaped,control,3,"123,456,2026",5.636111111111111,0.0768174845066273,0.11833333333333333,0.0028867513459481316,0.10722222222222222,0.0038490017945975057,6.227777777777778,0.07904522849703298,325.75722222222225,1.3323760452387132,5.08,1.3797101144805743,0.15333333333333335,0.03214550253664318,0.1,0.0360555127546399,5.846666666666667,1.4602853602407078,338.1066666666667,9.489311531050781,371.34000000000003,20.234848652757453,28.956666666666667,9.692896024064911,57.63333333333333,15.788405028163334,0.005618286195334077,0.0016199975859970874,1.5028072178580736,0.4124906747608962,0.04521313055598823,0.008224540893958996,0.053159000693006345,0.019977173445801584,0.5733333333333334,0.3092463958291726,1,0.0,3.3066666666666666,0.7008803987367128,0.08333333333333333,0.011547005383792509,0.53,0.12000000000000002,3.723333333333333,0.7254194189111104,3.723333333333333,0.7254194189111104,2.123333333333333,2.1848874875684863,0.08333333333333333,0.011547005383792509,0.17,0.05567764362830022,0.83,0.05567764362830021,0.6766666666666666,0.16653327995729064,0.023333333333333334,0.015275252316519466,0.7,0.15132745950421553,1.3,0.15132745950421556,0.29820682726561937,0.25474991818582515,239.66666666666666,161.20277086121484,0.25333333333333335,0.33857544703261244
F7,shaped,control_stress_mixed,3,"123,456,2026",5.636111111111111,0.0768174845066273,0.11833333333333333,0.0028867513459481316,0.10722222222222222,0.0038490017945975057,6.227777777777778,0.07904522849703298,325.75722222222225,1.3323760452387132,3.6466666666666665,0.5750072463311511,0.66,0.21794494717703372,0.12,0.03,6.946666666666666,1.6645219533948277,314.0566666666667,30.516129068630796,353.8666666666667,24.026296704513864,26.12333333333333,6.317035169550138,39.660000000000004,6.616706129185426,0.024943101535190342,0.004281212716376271,1.1788917876740874,0.2858154152138926,0.21528246163192105,0.08616941452639333,0.045665237791420864,0.013560292658282916,0.5933333333333334,0.2055075018906447,3,0.0,1.7255555555555555,0.13090850635859008,0.2733333333333333,0.012018504251546647,0.33111111111111113,0.008388704928078609,3.0922222222222224,0.13175454170258935,7.026666666666666,0.33291640592396976,-0.08000000000000003,1.9970728579598693,0.10333333333333333,0.0057735026918962545,0.22333333333333333,0.025166114784235825,0.7766666666666667,0.025166114784235853,0.4666666666666667,0.07571877794400365,0.026666666666666665,0.005773502691896257,0.49333333333333335,0.07371114795831997,1.7133333333333334,0.10503967504392485,0.2888016023138897,0.19557413835296728,259.6666666666667,79.93956050250297,0.19333333333333333,0.2573583752927682
F7,shaped,control_stress_rule3,3,"123,456,2026",5.636111111111111,0.0768174845066273,0.11833333333333333,0.0028867513459481316,0.10722222222222222,0.0038490017945975057,6.227777777777778,0.07904522849703298,325.75722222222225,1.3323760452387132,3.1166666666666667,0.3527510926040248,0.2966666666666667,0.09504384952922168,0.15,0.03,4.6,0.80876448982383,317.76666666666665,21.08779820970727,369.0366666666667,14.091062179031535,27.063333333333333,4.676433826467914,30.04,2.0442113393678256,0.010831262783615871,0.0022662930686503323,0.988308103343682,0.17026056568555928,0.09487710941759797,0.035481144571290195,0.03971444297074795,0.012726443598021471,0.7466666666666667,0.12583057392117916,3,0.0,1.9444444444444444,0.11481063313770848,0.17111111111111113,0.043503937667670876,0.5455555555555556,0.001924500897298733,2.8000000000000003,0.13283239230114158,5.0,0.2253885533916927,-0.39999999999999997,0.7817288532477229,0.13333333333333333,0.03785938897200183,0.25666666666666665,0.049328828623162464,0.7433333333333333,0.04932882862316252,0.42,0.08185352771872449,0.07333333333333333,0.030550504633038936,0.4933333333333333,0.07094598884597586,1.8866666666666667,0.18036999011291582,0.281184294151598,0.1473683188751377,258.6666666666667,23.24507116214819,0.16,0.21794494717703367
F7,shaped,finetuned,3,"123,456,2026",5.51,0.045092497528228866,0.12388888888888888,0.010046189622236183,0.10611111111111111,0.013471506281091271,6.129444444444444,0.08333888870371599,322.93611111111113,5.075803804252018,5.59,0.16999999999999993,0.15,0.05196152422706632,0.09666666666666666,0.020816659994661323,6.34,0.4158124577258357,335.11,9.891819852787432,369.08000000000004,5.29398715525453,30.48,2.3041050323281724,63.6,1.2189749792346032,0.004987724749666618,0.001976282960683819,1.6687315704547594,0.057411076037862815,0.04483985654886991,0.015822036443329447,0.05674284546228148,0.016919874621617096,0.5,0.07549834435270748,1,0.0,3.123333333333333,0.16502525059315412,0.11333333333333334,0.02516611478423584,0.5066666666666666,0.08736894948054104,3.69,0.10440306508910546,3.69,0.10440306508910546,2.65,0.48497422611928565,0.11333333333333334,0.02516611478423584,0.19666666666666666,0.03214550253664318,0.8033333333333333,0.032145502536643146,0.7166666666666667,0.032145502536643146,0.013333333333333332,0.015275252316519466,0.73,0.04358898943540671,1.27,0.043588989435406775,0.21513469825578663,0.006056457632781145,197.33333333333334,90.53360333783989,0.06333333333333334,0.02886751345948129
F7,shaped,mixed,3,"123,456,2026",6.222777777777778,0.04416928713400249,0.30722222222222223,0.010844011831079522,0.07277777777777777,0.002545875386086573,7.7588888888888885,0.015122952876462458,348.08222222222224,2.663786117818301,4.846666666666667,0.8210562303115014,0.17333333333333334,0.05131601439446885,0.09333333333333334,0.05131601439446884,5.713333333333334,0.8429907077384265,356.22333333333336,19.35132122965595,388.3233333333333,6.464304551406387,20.403333333333332,5.316731452060875,49.92,9.687419677086359,0.008972177843088599,0.003389475551138111,1.3592733964080057,0.213303262039386,0.04832168790822214,0.011929989474742582,0.08205645237657246,0.09012900739232724,0.79,0.12124355652982141,1,0.0,2.8966666666666665,0.4186088070422471,0.07,0.026457513110645904,0.5966666666666667,0.028867513459481315,3.2466666666666666,0.47982635748084246,3.2466666666666666,0.47982635748084246,2.466666666666667,1.3123007785311007,0.07,0.026457513110645904,0.16,0.07,0.84,0.07,0.7033333333333334,0.13203534880225568,0.05,0.026457513110645908,0.7533333333333333,0.1171893055416463,1.2466666666666666,0.11718930554164628,0.48474792675692774,0.11711660511975759,311,7.810249675906654,0.53,0.20663978319771822
F7,shaped,stress_mixed,3,"123,456,2026",,,,,,,,,,,3.7133333333333334,0.4313158162336891,0.6633333333333333,0.05033222956847166,0.11,0.0458257569495584,7.03,0.5793962374748388,323.84999999999997,27.14382434366977,354.3433333333333,10.651949743278607,26.13,1.0665833300778702,39.39666666666667,2.9934651047462277,0.025362207322836075,0.0009304743619146843,1.1462739682860303,0.08109158849097027,0.20501977776702524,0.007547879470469105,0.03831575842638446,0.010090416441309098,0.5466666666666666,0.07571877794400363,3,0.0,1.741111111111111,0.14871050673982245,0.28555555555555556,0.010183501544346323,0.3144444444444444,0.0353291402124103,3.168888888888889,0.1751295816541863,7.123333333333333,0.3677408507812717,-0.09333333333333337,0.9304479208066044,0.09,0.0608276253029822,0.19333333333333336,0.08020806277010643,0.8066666666666666,0.08020806277010645,0.44333333333333336,0.020816659994661344,0.05,0.017320508075688777,0.49333333333333335,0.005773502691896263,1.6666666666666667,0.045092497528228866,0.2781039674224064,0.056956485232419925,268.3333333333333,55.89573627150226,0.14333333333333334,0.0808290376865476
F7,shaped,stress_rule3,3,"123,456,2026",,,,,,,,,,,3.013333333333333,0.21548395145191984,0.24,0.017320508075688773,0.19,0.04000000000000001,4.213333333333333,0.3007213549672408,299.71999999999997,22.64547857741141,347.12,13.105674343581123,24.643333333333334,3.079355993277383,29.603333333333335,1.421489828782933,0.009889971506045833,0.0018477549085579577,1.0118178676588092,0.13476415242926237,0.0806278292371565,0.011248571639424552,0.037853775168532514,0.00970859871327796,0.5800000000000001,0.06999999999999999,3,0.0,1.991111111111111,0.07719623863414116,0.18555555555555556,0.0368681333845268,0.5944444444444444,0.03564225540521206,2.918888888888889,0.1350445742598976,5.33,0.18083141320025098,-1.1166666666666667,0.21221058723196007,0.13666666666666666,0.03055050463303894,0.3,0.04582575694955841,0.7,0.04582575694955844,0.3566666666666667,0.040414518843273815,0.07666666666666667,0.011547005383792509,0.4333333333333333,0.03214550253664318,1.9533333333333334,0.0850490054811538,0.25772228524925134,0.021443986334803586,188.66666666666666,63.81483631047982,0.06333333333333334,0.035118845842842465
F7,shaped,t46_1rule,3,"123,456,2026",2.5005555555555556,0.03906310184721541,0.22666666666666666,0.0016666666666666635,0.15055555555555555,0.017347216662217786,3.633888888888889,0.04577521567803222,298.7861111111111,6.524759964365948,4.793333333333333,0.48542077966783953,0.16333333333333333,0.04509249752822894,0.12666666666666668,0.03785938897200183,5.61,0.6126173356998641,323.48333333333335,19.977062680317477,365.15,11.21096338411645,27.89,1.4849579118614782,59.93333333333334,3.529905570030638,0.0058446907435479615,0.001558880368805713,1.4826402893415165,0.1360036751920123,0.05004725041976449,0.010804425294871526,0.03003780386198602,0.004571631202540165,0.49666666666666665,0.09291573243177569,1,0.0,3.7,0.548087584241789,0.12,0.03,0.49,0.14730919862656233,4.3,0.6920260110718385,4.3,0.6920260110718385,1.31,1.2653853168106544,0.12,0.03,0.23333333333333334,0.07571877794400365,0.7666666666666667,0.07571877794400371,0.6166666666666667,0.11846237095944574,0.016666666666666666,0.015275252316519466,0.6333333333333333,0.1171893055416463,1.3666666666666667,0.11718930554164628,0.3428932508345975,0.06216529392501063,323,30.805843601498726,0.27,0.06557438524302002
F7,shaped,t46_mixed,3,"123,456,2026",2.5005555555555556,0.03906310184721541,0.22666666666666666,0.0016666666666666635,0.15055555555555555,0.017347216662217786,3.633888888888889,0.04577521567803222,298.7861111111111,6.524759964365948,3.26,0.25059928172283336,0.5833333333333334,0.06806859285554046,0.15,0.04358898943540673,6.176666666666667,0.581062245661627,308.17,11.15154249420231,350.13666666666666,9.533406176877902,23.686666666666667,0.3478984526170442,40.089999999999996,3.1058493202343196,0.024658937616728764,0.0032583233697341786,1.0577537992498636,0.07063029503045164,0.18935877940971885,0.022019663613274204,0.02572209178207951,0.0026910580117915526,0.6,0.02645751311064593,3,0.0,1.8366666666666667,0.09614803401237308,0.27,0.005773502691896263,0.3277777777777778,0.019531550923607716,3.1866666666666665,0.07796010375684347,7.243333333333333,0.29501412395567317,-1.0666666666666667,0.8503136676152708,0.09666666666666666,0.020816659994661323,0.24666666666666667,0.02516611478423584,0.7533333333333333,0.025166114784235853,0.41333333333333333,0.051316014394468826,0.04,0.010000000000000002,0.4533333333333333,0.04163331998932266,1.7733333333333334,0.037859388972001855,0.3946582544268424,0.0036808416373849662,293.6666666666667,27.42869543622761,0.33,0.07810249675906653
